class_id,kode_mk,nama_mk,sks,sks_asli,dosen,dosen_priority,jumlah_mhs,semester,parallel,is_split
47,CIF63106,Analisis dan Perancangan Sistem (Sesi 1),3,5,Eko Sakti Pramukantoro,1,40,3,E,True
60,CIF63106,Analisis dan Perancangan Sistem (Sesi 1),3,5,Lutfi Fanani,1,40,3,A,True
102,CIF63106,Analisis dan Perancangan Sistem (Sesi 1),3,5,Denny Sagita Rusdianto,1,40,3,D,True
107,CIF63106,Analisis dan Perancangan Sistem (Sesi 1),3,5,Komang Candra Brata,1,40,3,G,True
126,CIF63106,Analisis dan Perancangan Sistem (Sesi 1),3,5,Lutfi Fanani,1,40,3,F,True
138,CIF63106,Analisis dan Perancangan Sistem (Sesi 1),3,5,Denny Sagita Rusdianto,1,40,3,C,True
148,CIF63106,Analisis dan Perancangan Sistem (Sesi 1),3,5,Nurudin Santoso,1,40,3,B,True
48,CIF63106,Analisis dan Perancangan Sistem (Sesi 2),2,5,Eko Sakti Pramukantoro,1,40,3,E,True
61,CIF63106,Analisis dan Perancangan Sistem (Sesi 2),2,5,Lutfi Fanani,1,40,3,A,True
103,CIF63106,Analisis dan Perancangan Sistem (Sesi 2),2,5,Denny Sagita Rusdianto,1,40,3,D,True
108,CIF63106,Analisis dan Perancangan Sistem (Sesi 2),2,5,Komang Candra Brata,1,40,3,G,True
127,CIF63106,Analisis dan Perancangan Sistem (Sesi 2),2,5,Lutfi Fanani,1,40,3,F,True
139,CIF63106,Analisis dan Perancangan Sistem (Sesi 2),2,5,Denny Sagita Rusdianto,1,40,3,C,True
149,CIF63106,Analisis dan Perancangan Sistem (Sesi 2),2,5,Nurudin Santoso,1,40,3,B,True
13,CIF63108,Interaksi Manusia dan Komputer,2,2,Herman Tolle,1,40,3,G,False
46,CIF63108,Interaksi Manusia dan Komputer,2,2,Lutfi Fanani,1,40,3,E,False
62,CIF63108,Interaksi Manusia dan Komputer,2,2,Komang Candra Brata,1,40,3,A,False
73,CIF63108,Interaksi Manusia dan Komputer,2,2,Adam Hendra Brata,1,40,3,D,False
132,CIF63108,Interaksi Manusia dan Komputer,2,2,Denny Sagita Rusdianto,1,40,3,C,False
144,CIF63108,Interaksi Manusia dan Komputer,2,2,Adam Hendra Brata,1,40,3,B,False
145,CIF63108,Interaksi Manusia dan Komputer,2,2,Lutfi Fanani,1,40,3,F,False
88,CIF63207,Jaringan Komputer (Sesi 1),3,5,Primantara Hari Trisnawan,1,40,3,D,True
105,CIF63207,Jaringan Komputer (Sesi 1),3,5,Reza Andria Siregar,1,40,3,F,True
124,CIF63207,Jaringan Komputer (Sesi 1),3,5,Reza Andria Siregar,1,40,3,E,True
130,CIF63207,Jaringan Komputer (Sesi 1),3,5,Sabriansyah Rizqika Akbar,1,40,3,A,True
140,CIF63207,Jaringan Komputer (Sesi 1),3,5,Sabriansyah Rizqika Akbar,1,40,3,G,True
153,CIF63207,Jaringan Komputer (Sesi 1),3,5,Achmad Basuki,1,40,3,B,True
159,CIF63207,Jaringan Komputer (Sesi 1),3,5,Reza Andria Siregar,1,40,3,C,True
89,CIF63207,Jaringan Komputer (Sesi 2),2,5,Primantara Hari Trisnawan,1,40,3,D,True
106,CIF63207,Jaringan Komputer (Sesi 2),2,5,Reza Andria Siregar,1,40,3,F,True
125,CIF63207,Jaringan Komputer (Sesi 2),2,5,Reza Andria Siregar,1,40,3,E,True
131,CIF63207,Jaringan Komputer (Sesi 2),2,5,Sabriansyah Rizqika Akbar,1,40,3,A,True
141,CIF63207,Jaringan Komputer (Sesi 2),2,5,Sabriansyah Rizqika Akbar,1,40,3,G,True
154,CIF63207,Jaringan Komputer (Sesi 2),2,5,Achmad Basuki,1,40,3,B,True
160,CIF63207,Jaringan Komputer (Sesi 2),2,5,Reza Andria Siregar,1,40,3,C,True
0,CIF63110,Kecerdasan Artifisial,2,2,Rizal Setya Perdana,1,40,3,D,False
28,CIF63110,Kecerdasan Artifisial,2,2,Wayan Firdaus Mahmudy,1,40,3,B,False
53,CIF63110,Kecerdasan Artifisial,2,2,Arief Andy Soebroto,1,40,3,E,False
65,CIF63110,Kecerdasan Artifisial,2,2,Wayan Firdaus Mahmudy,1,40,3,F,False
79,CIF63110,Kecerdasan Artifisial,2,2,Edy Santoso,1,40,3,A,False
129,CIF63110,Kecerdasan Artifisial,2,2,Arief Andy Soebroto,1,40,3,G,False
152,CIF63110,Kecerdasan Artifisial,2,2,Arief Andy Soebroto,1,40,3,C,False
11,CIF63309,Metode Numerik,3,3,Muh. Arif Rahman,1,40,3,G,False
15,CIF63309,Metode Numerik,3,3,Agung Setia Budi,1,40,3,A,False
17,CIF63309,Metode Numerik,3,3,Eko Sakti Pramukantoro,1,40,3,B,False
25,CIF63309,Metode Numerik,3,3,Muh. Arif Rahman,1,40,3,C,False
93,CIF63309,Metode Numerik,3,3,Achmad Ridok,1,40,3,E,False
98,CIF63309,Metode Numerik,3,3,Achmad Ridok,1,40,3,D,False
109,CIF63309,Metode Numerik,3,3,Wayan Firdaus Mahmudy,2,40,3,F,False
10,CIF65217,Jaringan Nirkabel,3,3,Dany Primanita Kartikasari,1,40,5,B,False
12,CIF65217,Jaringan Nirkabel,3,3,Eko Sakti Pramukantoro,1,40,5,E,False
40,CIF65217,Jaringan Nirkabel,3,3,Widhi Yahya,1,40,5,D,False
66,CIF65217,Jaringan Nirkabel,3,3,Dany Primanita Kartikasari,1,40,5,F,False
117,CIF65217,Jaringan Nirkabel,3,3,Widhi Yahya,1,40,5,A,False
123,CIF65217,Jaringan Nirkabel,3,3,Primantara Hari Trisnawan,1,40,5,C,False
158,CIF65217,Jaringan Nirkabel,3,3,Primantara Hari Trisnawan,1,40,5,G,False
4,CIF65318,Jaringan Saraf Tiruan,3,3,Agung Setia Budi,1,40,5,A,False
31,CIF65318,Jaringan Saraf Tiruan,3,3,Wayan Firdaus Mahmudy,1,40,5,C,False
39,CIF65318,Jaringan Saraf Tiruan,3,3,Budi Darma Setiawan,1,40,5,G,False
63,CIF65318,Jaringan Saraf Tiruan,3,3,Randy Cahya Wihandika,1,40,5,B,False
110,CIF65318,Jaringan Saraf Tiruan,3,3,Randy Cahya Wihandika,1,40,5,F,False
115,CIF65318,Jaringan Saraf Tiruan,3,3,Budi Darma Setiawan,1,40,5,E,False
166,CIF65318,Jaringan Saraf Tiruan,3,3,Wayan Firdaus Mahmudy,1,40,5,D,False
26,CIF65116,Komputer Grafis,2,2,Herman Tolle,1,40,5,B,False
29,CIF65116,Komputer Grafis,2,2,Herman Tolle,1,40,5,C,False
72,CIF65116,Komputer Grafis,2,2,Herman Tolle,1,40,5,D,False
77,CIF65116,Komputer Grafis,2,2,Herman Tolle,1,40,5,A,False
82,CIF65116,Komputer Grafis,2,2,Herman Tolle,1,40,5,E,False
94,CIF65116,Komputer Grafis,2,2,Herman Tolle,1,40,5,F,False
143,CIF65116,Komputer Grafis,2,2,Herman Tolle,1,40,5,G,False
21,COM60051,Metodologi Penelitian & Penulisan Ilmiah,3,3,Widhi Yahya,1,40,5,C,False
81,COM60051,Metodologi Penelitian & Penulisan Ilmiah,3,3,Achmad Basuki,1,40,5,E,False
116,COM60051,Metodologi Penelitian & Penulisan Ilmiah,3,3,Arief Andy Soebroto,1,40,5,B,False
118,COM60051,Metodologi Penelitian & Penulisan Ilmiah,3,3,Fitra Abdurrachman Bachtiar,1,40,5,A,False
135,COM60051,Metodologi Penelitian & Penulisan Ilmiah,3,3,Achmad Basuki,1,40,5,G,False
155,COM60051,Metodologi Penelitian & Penulisan Ilmiah,3,3,Arief Andy Soebroto,1,40,5,D,False
165,COM60051,Metodologi Penelitian & Penulisan Ilmiah,3,3,Widhi Yahya,1,40,5,F,False
57,CIF65115,Pemrograman Aplikasi Perangkat Bergerak,3,3,Adam Hendra Brata,1,40,5,D,False
64,CIF65115,Pemrograman Aplikasi Perangkat Bergerak,3,3,Komang Candra Brata,1,40,5,A,False
75,CIF65115,Pemrograman Aplikasi Perangkat Bergerak,3,3,Nur Hazbiy Shaffan,1,40,5,G,False
78,CIF65115,Pemrograman Aplikasi Perangkat Bergerak,3,3,Nur Hazbiy Shaffan,1,40,5,B,False
114,CIF65115,Pemrograman Aplikasi Perangkat Bergerak,3,3,Komang Candra Brata,1,40,5,E,False
150,CIF65115,Pemrograman Aplikasi Perangkat Bergerak,3,3,Nur Hazbiy Shaffan,1,40,5,F,False
167,CIF65115,Pemrograman Aplikasi Perangkat Bergerak,3,3,Komang Candra Brata,1,40,5,C,False
41,CIF65319,Statistika inferensi,2,2,Marji,1,40,5,D,False
43,CIF65319,Statistika inferensi,2,2,Marji,1,40,5,A,False
